Industry,Financial_Needs,Org_Preferences,Revenue,No_of_Employees
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,20536882,4205
Retail,Working Capital,Inventory Financing,38372397,3583
Finance,Risk Management Solutions,Digital Transformation,47197965,3976
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,36478158,1686
Finance,Risk Management Solutions,Digital Transformation,14867983,2450
Retail,Working Capital,Inventory Financing,36017864,3422
Education,Infrastructure Development,EdTech Investments,6480998,1108
Real Estate,Property Loans,Commercial Real Estate Funding,17858867,4150
Finance,Risk Management Solutions,Digital Transformation,47197965,3976
Energy,Sustainability Investments,Green Energy Projects,18724129,1038
Energy,Sustainability Investments,Green Energy Projects,48117773,1791
Real Estate,Property Loans,Commercial Real Estate Funding,7017060,4750
Education,Infrastructure Development,EdTech Investments,36749751,2468
Retail,Working Capital,Inventory Financing,38241484,78
Real Estate,Property Loans,Commercial Real Estate Funding,4596031,4235
Manufacturing,Equipment Financing,Supply Chain Optimization,12724226,3036
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,20536882,4205
Manufacturing,Equipment Financing,Supply Chain Optimization,11277232,1795
Retail,Working Capital,Inventory Financing,38372397,3583
Manufacturing,Equipment Financing,Supply Chain Optimization,11277232,1795
Education,Infrastructure Development,EdTech Investments,36749751,2468
Retail,Working Capital,Inventory Financing,48437799,1972
Real Estate,Property Loans,Commercial Real Estate Funding,4596031,4235
Manufacturing,Equipment Financing,Supply Chain Optimization,49704692,2114
Education,Infrastructure Development,EdTech Investments,6480998,1108
Manufacturing,Equipment Financing,Supply Chain Optimization,31690067,3234
Energy,Sustainability Investments,Green Energy Projects,48117773,1791
Education,Infrastructure Development,EdTech Investments,42961924,2707
Manufacturing,Equipment Financing,Supply Chain Optimization,31690067,3234
Manufacturing,Equipment Financing,Supply Chain Optimization,11520723,3071
Education,Infrastructure Development,EdTech Investments,23429424,3869
Education,Infrastructure Development,EdTech Investments,6480998,1108
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,14347091,4237
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,20536882,4205
Finance,Risk Management Solutions,Digital Transformation,22031669,92
Retail,Working Capital,Inventory Financing,33803926,4997
Finance,Risk Management Solutions,Digital Transformation,47197965,3976
Finance,Risk Management Solutions,Digital Transformation,14867983,2450
Education,Infrastructure Development,EdTech Investments,18146686,41
Real Estate,Property Loans,Commercial Real Estate Funding,4596031,4235
Education,Infrastructure Development,EdTech Investments,42961924,2707
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,41460703,200
Education,Infrastructure Development,EdTech Investments,18146686,41
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,41460703,200
Education,Infrastructure Development,EdTech Investments,6480998,1108
Education,Infrastructure Development,EdTech Investments,42961924,2707
Energy,Sustainability Investments,Green Energy Projects,18724129,1038
Healthcare,Regulatory Compliance Loans,Medical Equipment Leasing,36478158,1686
Retail,Working Capital,Inventory Financing,48437799,1972
Retail,Working Capital,Inventory Financing,48437799,1972
